time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620734400,4756.944444444444,17.49248366013071,214.38888888888889,390.3333333333333,841.9,399.8888888888889,2388.8888888888887,5.9,0.0,16.427777777777738,3256.3,17.96666666666665,0.0,0.7777777777777771,1
1620734410,4922.111111111111,17.49248366013071,214.38888888888889,398.22222222222223,855.1,407.8888888888889,2224.8888888888887,5.9,6.139999999999963,16.516666666666698,3314.4,18.166666666666696,0.0,0.7888888888888914,1
1620734420,5077.277777777777,17.49248366013071,214.38888888888889,407.1111111111111,882.2,416.3888888888889,2067.3888888888887,5.9,0.0,15.516666666666604,3236.5,17.405555555555566,0.0,0.8888888888888857,1
1620734430,5209.75,17.49248366013071,226.875,415.3125,882.2,424.8125,1933.9375,1.8,0.0,13.247222222222264,3236.5,19.07291666666665,0.0,0.8201388888888914,1
1620734440,5348.666666666667,17.49248366013071,214.38888888888889,423.44444444444446,5084.9,433.0,1796.9444444444443,1.8,0.0,13.891666666666698,38893.6,15.694444444444434,22.9,0.8131944444444457,1
1620734450,5497.222222222223,17.49248366013071,214.38888888888889,432.1111111111111,870.9,441.6666666666667,1649.7777777777778,5.3,0.0,14.855555555555563,3225.7,12.96875,0.0,0.8666666666666629,1
1620734460,5639.666666666667,17.49248366013071,214.38888888888889,440.94444444444446,868.4,450.3333333333333,1506.388888888889,5.3,0.0,14.244444444444436,3159.2,15.936111111111131,0.0,0.8833333333333371,1
1620734470,5780.833333333333,17.49248366013071,214.38888888888889,449.5,871.8,459.1111111111111,1365.611111111111,5.3,0.0,14.116666666666609,3237.5,16.069444444444436,0.0,0.8555555555555543,1
1620734480,5932.333333333333,17.49248366013071,214.38888888888889,458.1111111111111,867.5,467.55555555555554,1214.6666666666667,8.0,0.0,15.15,3241.0,16.547222222222217,0.0,0.8611111111111086,1
1620734490,6073.833333333333,17.49248366013071,214.38888888888889,466.6666666666667,859.0,476.22222222222223,1072.0555555555557,8.0,0.0,14.15,3151.1,16.222222222222218,0.0,0.85555555555556,1
1620734500,6213.833333333333,17.49248366013071,214.38888888888889,475.3888888888889,869.0,485.05555555555554,932.5,8.0,0.0,14.0,3193.4,15.944444444444434,0.0,0.8722222222222229,1
1620734510,6350.5,17.49248366013071,214.38888888888889,484.1111111111111,851.3,493.6666666666667,796.5,6.2,0.0,13.666666666666696,3112.9,15.588888888888912,0.0,0.8722222222222171,1
1620734520,6495.777777777777,17.49248366013071,214.38888888888889,492.8333333333333,864.7,502.22222222222223,649.9444444444445,6.2,0.0,14.527777777777738,3163.7,15.536111111111133,0.0,0.8722222222222229,1
1620734530,6635.722222222223,17.49248366013071,214.38888888888889,501.1666666666667,847.6,510.55555555555554,510.22222222222223,2.0,0.0,13.994444444444524,3149.5,15.98888888888887,0.0,0.8333333333333371,1
1620734540,6789.388888888889,17.49248366013071,214.38888888888889,508.55555555555554,810.5,518.1666666666666,356.6111111111111,2.0,0.0,15.366666666666609,3148.9,16.816666666666652,0.0,0.7388888888888857,1
1620734550,6944.222222222223,17.49248366013071,214.38888888888889,516.3333333333334,818.6,525.7777777777778,202.77777777777777,5.8,0.0,15.483333333333396,3132.8,17.236111111111132,0.0,0.7777777777777828,1
1620734560,1214.111111111111,1.8,164.88888888888889,219.72222222222223,294.2,229.11111111111111,4071.8333333333335,3.1,33.15,7.622222222222217,5411.6,8.441666666666663,29.8,0.2833333333333342,2
1620734570,1268.9444444444443,1.8,183.77777777777777,222.22222222222223,244.3,231.61111111111111,4030.5,2.5,33.129999999999924,5.483333333333325,5236.4,7.777777777777783,34.0,0.25,2
1620734580,1363.5,55.83888888888887,189.94444444444449,226.11111111111111,392.6,235.83333333333331,4588.888888888889,2.5,31.2,9.455555555555566,4621.9,9.016666666666662,11.1,0.3888888888888885,2
1620734590,1469.0,52.01666666666669,189.94444444444449,230.94444444444449,446.7,240.94444444444449,5109.055555555556,1.0,27.88000000000011,10.55,4396.5,12.083333333333336,0.0,0.4833333333333343,2
1620734600,1588.2222222222222,52.01666666666669,189.94444444444449,237.05555555555557,593.7,247.38888888888889,5003.611111111111,1.0,24.589999999999964,11.922222222222215,4009.7,13.53611111111112,0.0,0.6111111111111086,2
1620734610,1724.4444444444443,52.01666666666669,189.94444444444449,244.22222222222223,670.5,254.72222222222223,4873.555555555556,5.6,21.25,13.622222222222216,3770.6,14.805555555555554,0.0,0.7166666666666686,2
1620734620,1872.7777777777776,17.22777777777774,189.94444444444449,252.11111111111111,781.2,262.72222222222223,5045.833333333333,5.6,17.910000000000036,14.833333333333348,3860.7,15.880555555555542,0.0,0.7888888888888885,2
1620734630,2017.555555555556,50.2166666666667,189.94444444444449,259.5,776.3,270.22222222222223,5548.0,1.8,14.689999999999964,14.477777777777783,4358.0,16.541666666666675,0.0,0.7388888888888886,2
